user_id, session_id, command_name, note_timings
f89a1df7662ac2b07abf3293b06f1b14-1,a788e731-49ef-428d-846c-005e031501df,Attack,System.Single[]
f89a1df7662ac2b07abf3293b06f1b14-1,a788e731-49ef-428d-846c-005e031501df,Attack,System.Single[]
f89a1df7662ac2b07abf3293b06f1b14-1,a788e731-49ef-428d-846c-005e031501df,Attack,System.Single[]
f89a1df7662ac2b07abf3293b06f1b14-1,a788e731-49ef-428d-846c-005e031501df,Attack,System.Single[]
f89a1df7662ac2b07abf3293b06f1b14-1,a788e731-49ef-428d-846c-005e031501df,Archer,System.Single[]
f89a1df7662ac2b07abf3293b06f1b14-1,a788e731-49ef-428d-846c-005e031501df,Attack,System.Single[]
f89a1df7662ac2b07abf3293b06f1b14-1,a788e731-49ef-428d-846c-005e031501df,Attack,System.Single[]
f89a1df7662ac2b07abf3293b06f1b14-1,a788e731-49ef-428d-846c-005e031501df,Attack,System.Single[]
f89a1df7662ac2b07abf3293b06f1b14-1,a788e731-49ef-428d-846c-005e031501df,Attack,System.Single[]
f89a1df7662ac2b07abf3293b06f1b14-1,a788e731-49ef-428d-846c-005e031501df,Attack,System.Single[]
f89a1df7662ac2b07abf3293b06f1b14-1,a788e731-49ef-428d-846c-005e031501df,Infantry,System.Single[]
f89a1df7662ac2b07abf3293b06f1b14-1,a788e731-49ef-428d-846c-005e031501df,Attack,System.Single[]
f89a1df7662ac2b07abf3293b06f1b14-1,a788e731-49ef-428d-846c-005e031501df,Attack,System.Single[]
f89a1df7662ac2b07abf3293b06f1b14-1,a788e731-49ef-428d-846c-005e031501df,Attack,System.Single[]
f89a1df7662ac2b07abf3293b06f1b14-1,a788e731-49ef-428d-846c-005e031501df,Attack,System.Single[]
f89a1df7662ac2b07abf3293b06f1b14-1,a788e731-49ef-428d-846c-005e031501df,Attack,System.Single[]
f89a1df7662ac2b07abf3293b06f1b14-1,a788e731-49ef-428d-846c-005e031501df,Attack,System.Single[]
f89a1df7662ac2b07abf3293b06f1b14-1,a788e731-49ef-428d-846c-005e031501df,Attack,System.Single[]
f89a1df7662ac2b07abf3293b06f1b14-1,a788e731-49ef-428d-846c-005e031501df,Attack,System.Single[]
f89a1df7662ac2b07abf3293b06f1b14-1,a788e731-49ef-428d-846c-005e031501df,Attack,System.Single[]
f89a1df7662ac2b07abf3293b06f1b14-1,a788e731-49ef-428d-846c-005e031501df,Attack,System.Single[]
f89a1df7662ac2b07abf3293b06f1b14-1,a788e731-49ef-428d-846c-005e031501df,Attack,System.Single[]
f89a1df7662ac2b07abf3293b06f1b14-1,a788e731-49ef-428d-846c-005e031501df,Attack,System.Single[]
f89a1df7662ac2b07abf3293b06f1b14-1,a788e731-49ef-428d-846c-005e031501df,Attack,System.Single[]
f89a1df7662ac2b07abf3293b06f1b14-1,a788e731-49ef-428d-846c-005e031501df,Attack,System.Single[]
f89a1df7662ac2b07abf3293b06f1b14-1,a788e731-49ef-428d-846c-005e031501df,Attack,System.Single[]
f89a1df7662ac2b07abf3293b06f1b14-1,a788e731-49ef-428d-846c-005e031501df,Attack,System.Single[]
f89a1df7662ac2b07abf3293b06f1b14-1,a788e731-49ef-428d-846c-005e031501df,Infantry,System.Single[]
f89a1df7662ac2b07abf3293b06f1b14-1,a788e731-49ef-428d-846c-005e031501df,Attack,System.Single[]
f89a1df7662ac2b07abf3293b06f1b14-1,a788e731-49ef-428d-846c-005e031501df,Attack,System.Single[]
f89a1df7662ac2b07abf3293b06f1b14-1,a788e731-49ef-428d-846c-005e031501df,Attack,System.Single[]
f89a1df7662ac2b07abf3293b06f1b14-1,a788e731-49ef-428d-846c-005e031501df,Attack,System.Single[]
f89a1df7662ac2b07abf3293b06f1b14-1,a788e731-49ef-428d-846c-005e031501df,Attack,System.Single[]
f89a1df7662ac2b07abf3293b06f1b14-1,a788e731-49ef-428d-846c-005e031501df,Archer,System.Single[]
f89a1df7662ac2b07abf3293b06f1b14-1,a788e731-49ef-428d-846c-005e031501df,Attack,System.Single[]
f89a1df7662ac2b07abf3293b06f1b14-1,a788e731-49ef-428d-846c-005e031501df,Attack,System.Single[]
f89a1df7662ac2b07abf3293b06f1b14-1,a788e731-49ef-428d-846c-005e031501df,Attack,System.Single[]
f89a1df7662ac2b07abf3293b06f1b14-1,a788e731-49ef-428d-846c-005e031501df,Attack,System.Single[]
f89a1df7662ac2b07abf3293b06f1b14-1,a788e731-49ef-428d-846c-005e031501df,Archer,System.Single[]
f89a1df7662ac2b07abf3293b06f1b14-1,a788e731-49ef-428d-846c-005e031501df,Attack,System.Single[]
f89a1df7662ac2b07abf3293b06f1b14-1,a788e731-49ef-428d-846c-005e031501df,Attack,System.Single[]
f89a1df7662ac2b07abf3293b06f1b14-1,a788e731-49ef-428d-846c-005e031501df,Attack,System.Single[]
f89a1df7662ac2b07abf3293b06f1b14-1,a788e731-49ef-428d-846c-005e031501df,Defend,System.Single[]
f89a1df7662ac2b07abf3293b06f1b14-1,a788e731-49ef-428d-846c-005e031501df,Defend,System.Single[]
f89a1df7662ac2b07abf3293b06f1b14-1,a788e731-49ef-428d-846c-005e031501df,Defend,System.Single[]
f89a1df7662ac2b07abf3293b06f1b14-1,a788e731-49ef-428d-846c-005e031501df,Defend,System.Single[]
f89a1df7662ac2b07abf3293b06f1b14-1,a788e731-49ef-428d-846c-005e031501df,Defend,System.Single[]
f89a1df7662ac2b07abf3293b06f1b14-1,a788e731-49ef-428d-846c-005e031501df,Attack,System.Single[]
f89a1df7662ac2b07abf3293b06f1b14-1,a788e731-49ef-428d-846c-005e031501df,Attack,System.Single[]
f89a1df7662ac2b07abf3293b06f1b14-1,a788e731-49ef-428d-846c-005e031501df,Attack,System.Single[]
f89a1df7662ac2b07abf3293b06f1b14-1,a788e731-49ef-428d-846c-005e031501df,Attack,System.Single[]
f89a1df7662ac2b07abf3293b06f1b14-1,a788e731-49ef-428d-846c-005e031501df,Archer,System.Single[]
f89a1df7662ac2b07abf3293b06f1b14-1,a788e731-49ef-428d-846c-005e031501df,Attack,System.Single[]
f89a1df7662ac2b07abf3293b06f1b14-1,a788e731-49ef-428d-846c-005e031501df,Attack,System.Single[]
f89a1df7662ac2b07abf3293b06f1b14-1,a788e731-49ef-428d-846c-005e031501df,Infantry,System.Single[]
f89a1df7662ac2b07abf3293b06f1b14-1,a788e731-49ef-428d-846c-005e031501df,Attack,System.Single[]
f89a1df7662ac2b07abf3293b06f1b14-1,a788e731-49ef-428d-846c-005e031501df,Attack,System.Single[]
f89a1df7662ac2b07abf3293b06f1b14-1,a788e731-49ef-428d-846c-005e031501df,Attack,System.Single[]
f89a1df7662ac2b07abf3293b06f1b14-1,a788e731-49ef-428d-846c-005e031501df,Archer,System.Single[]
f89a1df7662ac2b07abf3293b06f1b14-1,a788e731-49ef-428d-846c-005e031501df,Attack,System.Single[]
f89a1df7662ac2b07abf3293b06f1b14-1,a788e731-49ef-428d-846c-005e031501df,Archer,System.Single[]
f89a1df7662ac2b07abf3293b06f1b14-1,a788e731-49ef-428d-846c-005e031501df,Attack,System.Single[]
f89a1df7662ac2b07abf3293b06f1b14-1,a788e731-49ef-428d-846c-005e031501df,Attack,System.Single[]
f89a1df7662ac2b07abf3293b06f1b14-1,a788e731-49ef-428d-846c-005e031501df,Infantry,System.Single[]
f89a1df7662ac2b07abf3293b06f1b14-1,a788e731-49ef-428d-846c-005e031501df,Attack,System.Single[]
f89a1df7662ac2b07abf3293b06f1b14-1,a788e731-49ef-428d-846c-005e031501df,Attack,System.Single[]
f89a1df7662ac2b07abf3293b06f1b14-1,a788e731-49ef-428d-846c-005e031501df,Attack,System.Single[]
f89a1df7662ac2b07abf3293b06f1b14-1,a788e731-49ef-428d-846c-005e031501df,Attack,System.Single[]
f89a1df7662ac2b07abf3293b06f1b14-1,a788e731-49ef-428d-846c-005e031501df,Attack,System.Single[]
f89a1df7662ac2b07abf3293b06f1b14-1,a788e731-49ef-428d-846c-005e031501df,Defend,System.Single[]
f89a1df7662ac2b07abf3293b06f1b14-1,a788e731-49ef-428d-846c-005e031501df,Attack,System.Single[]
